Source,Target,Type,Kind,Id,Label,timeset,Weight
0,45,Undirected,,,,,19.936709
1,22,Undirected,,,,,12.183544
1,45,Undirected,,,,,13.291139
1,49,Undirected,,,,,17.721519
1,58,Undirected,,,,,12.183544
1,66,Undirected,,,,,9.968354
2,25,Undirected,,,,,7.753165
2,45,Undirected,,,,,9.968354
3,4,Undirected,,,,,13.291139
3,9,Undirected,,,,,13.291139
3,10,Undirected,,,,,11.075949
3,12,Undirected,,,,,13.291139
3,13,Undirected,,,,,17.721519
3,20,Undirected,,,,,11.075949
3,21,Undirected,,,,,13.291139
3,26,Undirected,,,,,12.183544
3,27,Undirected,,,,,18.829114
3,45,Undirected,,,,,14.398734
3,52,Undirected,,,,,13.291139
3,53,Undirected,,,,,18.829114
3,56,Undirected,,,,,11.075949
3,64,Undirected,,,,,9.968354
4,9,Undirected,,,,,11.075949
4,10,Undirected,,,,,8.860759
4,12,Undirected,,,,,11.075949
4,13,Undirected,,,,,15.506329
4,20,Undirected,,,,,8.860759
4,21,Undirected,,,,,11.075949
4,26,Undirected,,,,,9.968354
4,27,Undirected,,,,,16.613924
4,45,Undirected,,,,,12.183544
4,52,Undirected,,,,,11.075949
4,53,Undirected,,,,,16.613924
4,56,Undirected,,,,,8.860759
4,64,Undirected,,,,,7.753165
5,17,Undirected,,,,,14.398734
5,45,Undirected,,,,,11.075949
5,54,Undirected,,,,,7.753165
6,45,Undirected,,,,,9.968354
6,63,Undirected,,,,,5.537975
6,64,Undirected,,,,,5.537975
7,45,Undirected,,,,,9.968354
8,11,Undirected,,,,,6.645570
8,18,Undirected,,,,,7.753165
8,19,Undirected,,,,,6.645570
8,34,Undirected,,,,,6.645570
8,37,Undirected,,,,,7.753165
8,45,Undirected,,,,,9.968354
8,55,Undirected,,,,,6.645570
9,10,Undirected,,,,,8.860759
9,12,Undirected,,,,,11.075949
9,13,Undirected,,,,,15.506329
9,20,Undirected,,,,,8.860759
9,21,Undirected,,,,,11.075949
9,26,Undirected,,,,,9.968354
9,27,Undirected,,,,,16.613924
9,45,Undirected,,,,,12.183544
9,52,Undirected,,,,,11.075949
9,53,Undirected,,,,,16.613924
9,56,Undirected,,,,,8.860759
9,64,Undirected,,,,,7.753165
10,12,Undirected,,,,,8.860759
10,13,Undirected,,,,,13.291139
10,20,Undirected,,,,,6.645570
10,21,Undirected,,,,,8.860759
10,26,Undirected,,,,,7.753165
10,27,Undirected,,,,,14.398734
10,45,Undirected,,,,,9.968354
10,52,Undirected,,,,,8.860759
10,53,Undirected,,,,,14.398734
10,56,Undirected,,,,,6.645570
10,64,Undirected,,,,,5.537975
11,18,Undirected,,,,,7.753165
11,19,Undirected,,,,,6.645570
11,34,Undirected,,,,,6.645570
11,37,Undirected,,,,,7.753165
11,45,Undirected,,,,,9.968354
11,55,Undirected,,,,,6.645570
12,13,Undirected,,,,,15.506329
12,20,Undirected,,,,,8.860759
12,21,Undirected,,,,,11.075949
12,26,Undirected,,,,,9.968354
12,27,Undirected,,,,,16.613924
12,45,Undirected,,,,,12.183544
12,52,Undirected,,,,,11.075949
12,53,Undirected,,,,,16.613924
12,56,Undirected,,,,,8.860759
12,64,Undirected,,,,,7.753165
13,20,Undirected,,,,,13.291139
13,21,Undirected,,,,,15.506329
13,26,Undirected,,,,,14.398734
13,27,Undirected,,,,,21.044304
13,45,Undirected,,,,,16.613924
13,52,Undirected,,,,,15.506329
13,53,Undirected,,,,,21.044304
13,56,Undirected,,,,,13.291139
13,64,Undirected,,,,,12.183544
14,15,Undirected,,,,,11.075949
14,23,Undirected,,,,,11.075949
14,35,Undirected,,,,,11.075949
14,45,Undirected,,,,,12.183544
14,51,Undirected,,,,,8.860759
15,23,Undirected,,,,,11.075949
15,35,Undirected,,,,,11.075949
15,39,Undirected,,,,,9.968354
15,45,Undirected,,,,,24.367089
15,51,Undirected,,,,,8.860759
16,41,Undirected,,,,,7.753165
16,45,Undirected,,,,,24.367089
17,45,Undirected,,,,,16.613924
17,54,Undirected,,,,,13.291139
18,19,Undirected,,,,,7.753165
18,34,Undirected,,,,,7.753165
18,37,Undirected,,,,,8.860759
18,45,Undirected,,,,,11.075949
18,55,Undirected,,,,,7.753165
19,34,Undirected,,,,,6.645570
19,37,Undirected,,,,,7.753165
19,45,Undirected,,,,,9.968354
19,55,Undirected,,,,,6.645570
20,21,Undirected,,,,,8.860759
20,26,Undirected,,,,,7.753165
20,27,Undirected,,,,,14.398734
20,45,Undirected,,,,,9.968354
20,52,Undirected,,,,,8.860759
20,53,Undirected,,,,,14.398734
20,56,Undirected,,,,,6.645570
20,64,Undirected,,,,,5.537975
21,26,Undirected,,,,,9.968354
21,27,Undirected,,,,,16.613924
