Comp,Weight
OPK;OPK-3;75.6214;23.9308%
;OPK-7;23.7714;7.5226%
;OPK-4;18.1714;5.75045%
;OPK-12;17.1714;5.434%
;OPK-10;17.1714;5.434%
;OPK-1;14.4714;4.57957%
;OPK-13;9.8381;3.11332%
;OPK-2;8.47143;2.68083%
;OPK-5.1;7.70476;2.43822%
;OPK-9;6.67143;2.11121%
;OPK-8;6.00476;1.90024%
;OPK-5.3;6.0381;1.91079%
;OPK-5.2;6.0381;1.91079%
;OPK-15;6.8381;2.16395%
;OPK-5;5.17143;1.63653%
;OPK-6;3.92143;1.24096%
;OPK-16;1.67143;0.528933%
;OPK-14;1.00476;0.317963%
;OPK-11;1.00476;0.317963%;236.757;74.9232%
PK;PK-2;10.4548;3.30847%
;PK-4;9.30476;2.94454%
;PK-5;3.80476;1.20404%
;PK-3;3.47143;1.09855%
;PK-1;3.22143;1.01944%
;PK-6;2.47143;0.782098%;32.7286;10.3571%
UK;UK-4;16.1714;5.11754%
;UK-1;7.22143;2.28526%
;UK-2;4.22143;1.3359%
;UK-9;3.17143;1.00362%
;UK-8;3.17143;1.00362%
;UK-6;3.67143;1.16184%
;UK-3;3.37143;1.06691%
;UK-7;2.17143;0.687161%
;UK-5;1.67143;0.528933%
;UK-10;1.67143;0.528933%;46.5143;14.7197%
Количество зачётных единиц на все предметы;334
Количество зачётных единиц учтённых предметы;316
Количество дисциплин;72
Количество учтённых дисциплин;71
