Id,Label
0,История
1,Администрирован
2,Акмеология
3,Алгебра
4,Анализ систем о
5,Аналитическая г
6,Английский язык
7,Аппаратные сред
8,БЖД
9,Проф деят
10,Дискретная мате
11,Дифференциальны
12,Документоведени
13,Дополнительные 
14,Дополнительные 
15,Защита в операц
16,Защита информац
17,Защита программ
18,Ин Яз
19,Информатика
20,Информационные 
21,Искусственный и
22,Исследование оп
23,Комплексная защ
24,Компьютерные се
25,Криптографическ
26,Личностное разв
27,Математическая 
28,Мат Анализ
29,Математическое 
30,Междисциплинарн
31,Методы и средст
32,Модели безопасн
33,Научно-исследов
34,Научно-исследов
35,Ознакомительная
36,Операционные си
37,Организационное
38,Основы информац
39,Основы научных 
40,Основы построен
41,Основы стеганог
42,Основы управлен
43,Открытые информ
44,Параллельное пр
45,Подготовка к пр
46,Подготовка к сд
47,Правоведение
48,Прик Физ культ
49,Программно-аппа
50,Разработка и эк
51,Сети и системы 
52,Системы управле
53,Теоретико-число
54,Теория вероятно
55,Эффектив реч об
56,Теория информац
57,ТФКП
58,Технологии и ме
59,Управление инфо
60,Учебно-лаборато
61,Физика
62,Физ культ
63,Философия
64,Цифровая обрабо
65,Численные метод
66,Экономическая к
67,Эксплуатационна
68,Электроника и с
69,Языки программи
70,Языки программи
