Id,Label
1,История_1
31,Администрирован_17
35,Акмеология_7
43,Алгебра_1
44,Алгебра_2
65,Анализ систем о_9
71,Аналитическая г_1
89,Английский язык_5
90,Английский язык_6
103,Аппаратные сред_5
117,БЖД_5
128,Проф деят_2
142,Дискретная мате_2
158,Дифференциальны_4
175,Документоведени_7
185,Дополнительные _3
199,Дополнительные _3
200,Дополнительные _4
218,Защита в операц_8
230,Защита информац_6
246,Защита программ_8
253,Ин Яз_1
254,Ин Яз_2
255,Ин Яз_3
256,Ин Яз_4
267,Информатика_1
283,Информационные _3
311,Искусственный и_17
315,Исследование оп_7
339,Комплексная защ_17
344,Компьютерные се_8
359,Криптографическ_9
369,Личностное разв_5
381,Математическая _3
393,Мат Анализ_1
394,Мат Анализ_2
413,Математическое _7
437,Междисциплинарн_17
442,Методы и средст_8
443,Методы и средст_9
454,Модели безопасн_6
469,Научно-исследов_7
470,Научно-исследов_8
471,Научно-исследов_9
494,Научно-исследов_18
492,Ознакомительная_2
511,Операционные си_7
527,Организационное_9
537,Основы информац_5
553,Основы научных _7
577,Основы построен_17
582,Основы стеганог_8
597,Основы управлен_9
619,Открытые информ_17
623,Параллельное пр_7
662,Подготовка к сд_18
660,Правоведение_2
673,Прик Физ культ_1
674,Прик Физ культ_2
675,Прик Физ культ_3
676,Прик Физ культ_4
677,Прик Физ культ_5
678,Прик Физ культ_6
694,Программно-аппа_8
695,Программно-аппа_9
717,Разработка и эк_17
721,Сети и системы _7
734,Системы управле_6
748,Теоретико-число_6
760,Теория вероятно_4
761,Теория вероятно_5
774,Эффектив реч об_4
790,Теория информац_6
803,ТФКП_5
820,Технологии и ме_8
835,Управление инфо_9
844,Учебно-лаборато_4
856,Физика_2
857,Физика_3
869,Физ культ_1
870,Физ культ_2
873,Физ культ_5
874,Физ культ_6
885,Философия_3
901,Цифровая обрабо_5
916,Численные метод_6
930,Экономическая к_6
944,Эксплуатационна_6
956,Электроника и с_4
957,Электроника и с_5
967,Языки программи_1
968,Языки программи_2
983,Языки программи_3
984,Языки программи_4
