Source,Target,Type,Kind,Id,Label,timeset,Weight
44,43,Undirected,,,,,3.931962
90,89,Undirected,,,,,2.246835
200,199,Undirected,,,,,5.055380
254,253,Undirected,,,,,2.527690
255,254,Undirected,,,,,2.527690
256,255,Undirected,,,,,2.527690
394,393,Undirected,,,,,5.617089
443,442,Undirected,,,,,6.178797
470,469,Undirected,,,,,2.246835
471,470,Undirected,,,,,2.246835
674,673,Undirected,,,,,0.000000
675,674,Undirected,,,,,0.000000
676,675,Undirected,,,,,0.000000
677,676,Undirected,,,,,0.000000
678,677,Undirected,,,,,0.000000
695,694,Undirected,,,,,5.617089
761,760,Undirected,,,,,5.617089
857,856,Undirected,,,,,4.493671
870,869,Undirected,,,,,0.561709
874,873,Undirected,,,,,0.561709
957,956,Undirected,,,,,5.617089
968,967,Undirected,,,,,4.493671
984,983,Undirected,,,,,5.055380
43,71,Undirected,,,,,9.549051
43,393,Undirected,,,,,9.549051
71,43,Undirected,,,,,9.549051
71,393,Undirected,,,,,11.234177
393,43,Undirected,,,,,9.549051
393,71,Undirected,,,,,11.234177
673,869,Undirected,,,,,0.561709
869,673,Undirected,,,,,0.561709
44,142,Undirected,,,,,9.549051
44,394,Undirected,,,,,9.549051
128,492,Undirected,,,,,6.740506
142,44,Undirected,,,,,9.549051
142,394,Undirected,,,,,11.234177
394,44,Undirected,,,,,9.549051
394,142,Undirected,,,,,11.234177
492,128,Undirected,,,,,6.740506
492,660,Undirected,,,,,6.740506
492,968,Undirected,,,,,7.863924
660,492,Undirected,,,,,6.740506
674,870,Undirected,,,,,0.561709
870,674,Undirected,,,,,0.561709
968,492,Undirected,,,,,7.863924
185,199,Undirected,,,,,10.672468
185,381,Undirected,,,,,10.110759
199,185,Undirected,,,,,10.672468
199,381,Undirected,,,,,9.549051
381,185,Undirected,,,,,10.110759
381,199,Undirected,,,,,9.549051
158,200,Undirected,,,,,8.425633
158,760,Undirected,,,,,8.987342
200,158,Undirected,,,,,8.425633
200,760,Undirected,,,,,10.672468
256,774,Undirected,,,,,5.897943
760,158,Undirected,,,,,8.987342
760,200,Undirected,,,,,10.672468
774,256,Undirected,,,,,5.897943
677,873,Undirected,,,,,0.561709
761,803,Undirected,,,,,8.987342
803,761,Undirected,,,,,8.987342
873,677,Undirected,,,,,0.561709
454,944,Undirected,,,,,13.481013
678,874,Undirected,,,,,0.561709
748,916,Undirected,,,,,7.863924
874,678,Undirected,,,,,0.561709
916,748,Undirected,,,,,7.863924
944,454,Undirected,,,,,13.481013
315,469,Undirected,,,,,7.863924
469,315,Undirected,,,,,7.863924
511,721,Undirected,,,,,11.234177
721,511,Undirected,,,,,11.234177
218,344,Undirected,,,,,11.234177
344,218,Undirected,,,,,11.234177
442,582,Undirected,,,,,8.425633
582,442,Undirected,,,,,8.425633
359,443,Undirected,,,,,11.795886
443,359,Undirected,,,,,11.795886
471,835,Undirected,,,,,7.863924
695,835,Undirected,,,,,22.468354
835,471,Undirected,,,,,7.863924
835,695,Undirected,,,,,22.468354
